,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kimbe,PG,79.07,light rain,-5.5502,150.1429,Kimbe Bay Hotel
8,Kapaa,US,88.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Umm Lajj,SA,87.64,clear sky,25.0213,37.2685,Moon light Furnished Units
19,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Norman Wells,CA,78.33,broken clouds,65.282,-126.8329,Heritage Hotel
37,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
39,Acacoyagua,MX,81.64,overcast clouds,15.35,-92.65,Finca TAJUKO
46,Portland,US,82.45,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
52,Kochubey,RU,77.07,scattered clouds,44.3861,46.5825,Придорожный комплекс EUROPA
61,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
67,Piedra Gorda,PR,84.22,overcast clouds,18.4341,-66.8877,Centro comunal Piedra Gorda
69,Butaritari,KI,83.35,light rain,3.0707,172.7902,Isles Sunset Lodge
72,Bengkulu,ID,76.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
73,Kinablangan,PH,78.17,overcast clouds,7.6947,126.5503,Danny Moreno Property
78,Hithadhoo,MV,83.12,overcast clouds,-0.6,73.0833,Scoop Guest House
82,Shenjiamen,CN,75.65,light rain,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
84,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
89,Kailua,US,87.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
90,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
96,Lorengau,PG,80.02,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
97,Salalah,OM,80.49,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
100,Port Blair,IN,82.45,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
104,Komsomolskiy,UZ,80.02,broken clouds,40.4272,71.7189,Ikathouse
