,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Balkhash,KZ,46.844,74.9804,74.97,49,4,7.31,clear sky
1,Mataura,NZ,-46.1927,168.8643,34.48,87,48,2.48,scattered clouds
2,Kimbe,PG,-5.5502,150.1429,79.07,82,100,3.31,light rain
3,Kabalo,CD,-6.05,26.9167,75.36,35,34,4.83,scattered clouds
4,Vaini,TO,-21.2,-175.2,74.37,83,48,14.52,scattered clouds
5,Port Alfred,ZA,-33.5906,26.891,56.41,82,28,11.86,scattered clouds
6,Sur,OM,22.5667,59.5289,93.54,41,87,11.65,overcast clouds
7,Adrar,MR,20.5022,-10.0711,93.99,18,6,9.89,clear sky
8,Kapaa,US,22.0752,-159.319,88.12,70,75,5.01,broken clouds
9,Albany,US,42.6001,-73.9662,73.51,90,100,3.38,heavy intensity rain
10,Ushuaia,AR,-54.8,-68.3,35.26,75,40,12.66,light rain
11,Castro,BR,-24.7911,-50.0119,45.39,93,8,5.91,clear sky
12,Rikitea,PF,-23.1203,-134.9692,74.95,76,38,17.11,scattered clouds
13,Cidreira,BR,-30.1811,-50.2056,59.34,84,92,14.16,overcast clouds
14,Hobart,AU,-42.8794,147.3294,51.66,87,75,1.01,broken clouds
15,Umm Lajj,SA,25.0213,37.2685,87.64,49,3,7.47,clear sky
16,Barrow,US,71.2906,-156.7887,33.82,80,40,9.22,scattered clouds
17,Pokhara,NP,28.2333,83.9833,70.99,93,100,2.3,overcast clouds
18,Leningradskiy,RU,69.3833,178.4167,37.22,82,88,8.61,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,47,7.0,scattered clouds
20,Yellowknife,CA,62.456,-114.3525,73.33,60,62,3.0,broken clouds
21,Namibe,AO,-15.1961,12.1522,64.49,84,5,4.16,clear sky
22,Sangar,RU,63.9242,127.4739,72.37,58,87,6.76,overcast clouds
23,Avera,US,33.194,-82.5271,83.44,64,98,10.98,light rain
24,Lebu,CL,-37.6167,-73.65,48.43,83,76,6.67,broken clouds
25,Torbay,CA,47.6666,-52.7314,47.75,97,100,1.99,light rain
26,Thompson,CA,55.7435,-97.8558,101.7,23,8,11.92,clear sky
27,Dikson,RU,73.5069,80.5464,34.92,96,100,5.97,overcast clouds
28,Bambous Virieux,MU,-20.3428,57.7575,72.21,72,96,15.48,light rain
29,Berlevag,NO,70.8578,29.0864,50.83,82,9,33.26,clear sky
30,Nome,US,64.5011,-165.4064,62.17,65,100,18.41,overcast clouds
31,Busselton,AU,-33.65,115.3333,40.05,90,5,8.03,clear sky
32,Nikolskoye,RU,59.7035,30.7861,66.09,80,64,4.81,broken clouds
33,Srednekolymsk,RU,67.45,153.6833,54.5,37,0,8.9,clear sky
34,Upernavik,GL,72.7868,-56.1549,39.6,86,100,19.28,light rain
35,Norman Wells,CA,65.282,-126.8329,78.33,31,53,5.66,broken clouds
36,Kologriv,RU,58.8275,44.3178,60.28,97,79,7.14,broken clouds
37,Avarua,CK,-21.2078,-159.775,78.85,89,75,12.66,light rain
38,Ponta Do Sol,PT,32.6667,-17.1,70.72,78,28,3.83,scattered clouds
39,Acacoyagua,MX,15.35,-92.65,81.64,82,99,2.75,overcast clouds
40,Hessisch Oldendorf,DE,52.1667,9.25,62.94,96,100,8.05,overcast clouds
41,Punta Arenas,CL,-53.15,-70.9167,32.11,93,20,10.36,few clouds
42,Tasiilaq,GL,65.6145,-37.6368,44.76,64,100,3.15,overcast clouds
43,Sao Filipe,CV,14.8961,-24.4956,74.35,74,50,7.92,scattered clouds
44,Hermanus,ZA,-34.4187,19.2345,55.9,80,88,17.56,overcast clouds
45,Visby,SE,57.6409,18.296,66.94,94,40,3.44,scattered clouds
46,Portland,US,45.5234,-122.6762,82.45,59,90,5.75,overcast clouds
47,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,62.24,23,0,6.73,clear sky
48,Mata Grande,BR,-9.1175,-37.7322,66.25,97,84,8.84,broken clouds
49,Luangwa,ZM,-15.6167,30.4167,60.17,44,6,2.64,clear sky
50,Lagoa,PT,39.05,-27.9833,67.17,78,90,19.77,overcast clouds
51,Aasiaat,GL,68.7098,-52.8699,39.13,74,76,4.72,broken clouds
52,Kochubey,RU,44.3861,46.5825,77.07,48,30,7.4,scattered clouds
53,Leh,IN,34.1667,77.5833,53.24,62,84,4.99,broken clouds
54,Kodiak,US,57.79,-152.4072,51.31,87,90,14.97,moderate rain
55,Mar Del Plata,AR,-38.0023,-57.5575,50.13,65,0,3.0,light rain
56,Sistranda,NO,63.7256,8.834,57.9,81,0,14.32,clear sky
57,Beringovskiy,RU,63.05,179.3167,36.57,97,100,23.73,moderate rain
58,Carnarvon,AU,-24.8667,113.6333,51.87,51,2,10.36,clear sky
