City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Burgos,ES,2021-07-01 16:39:59,42.3394,-3.7079,84.61,21,20,6.91
1,Hobart,AU,2021-07-01 16:39:59,-42.8794,147.3294,53.46,83,90,1.99
2,Airai,TL,2021-07-01 16:39:59,-8.9266,125.4092,56.79,92,57,3.62
3,San Policarpo,PH,2021-07-01 16:40:00,12.1791,125.5072,80.78,80,94,1.95
4,Victoria,HK,2021-07-01 16:40:00,22.2855,114.1577,86.38,85,100,1.99
5,Mataura,NZ,2021-07-01 16:40:00,-46.1927,168.8643,32.49,95,83,2.62
6,Belaya Gora,RU,2021-07-01 16:40:01,68.5333,146.4167,50.76,50,11,9.48
7,Port Lincoln,AU,2021-07-01 16:40:01,-34.7333,135.8667,52.95,83,86,17.87
8,Tuktoyaktuk,CA,2021-07-01 16:40:03,69.4541,-133.0374,44.6,93,90,12.66
9,Bethel,US,2021-07-01 16:40:03,41.3712,-73.414,83.91,77,90,9.22
10,Rikitea,PF,2021-07-01 16:40:03,-23.1203,-134.9692,74.98,74,16,18.84
11,Talnakh,RU,2021-07-01 16:40:04,69.4865,88.3972,59.61,68,100,10.71
12,Cape Town,ZA,2021-07-01 16:38:21,-33.9258,18.4232,60.35,78,75,3.0
13,Yar-Sale,RU,2021-07-01 16:40:04,66.8333,70.8333,47.71,63,12,26.6
14,Porto Santo,PT,2021-07-01 16:40:05,33.072,-16.3415,76.3,88,75,6.91
15,Kodinsk,RU,2021-07-01 16:40:05,58.6881,99.1844,51.13,98,99,3.56
16,Bluff,NZ,2021-07-01 16:40:05,-46.6,168.3333,32.81,88,35,7.54
17,Nikolskoye,RU,2021-07-01 16:40:06,59.7035,30.7861,73.29,57,51,7.11
18,Tiksi,RU,2021-07-01 16:40:06,71.6872,128.8694,43.41,82,100,0.69
19,Port Elizabeth,ZA,2021-07-01 16:40:06,-33.918,25.5701,59.29,77,0,19.57
20,Khatanga,RU,2021-07-01 16:40:06,71.9667,102.5,57.06,86,60,3.58
21,Sinnamary,GF,2021-07-01 16:40:07,5.3833,-52.95,83.37,71,85,1.5
22,Kapaa,US,2021-07-01 16:40:07,22.0752,-159.319,80.92,79,90,16.11
23,Porbandar,IN,2021-07-01 16:40:07,21.6422,69.6093,84.78,71,99,19.46
24,Pisco,PE,2021-07-01 16:40:08,-13.7,-76.2167,62.65,82,90,8.05
25,Yanam,IN,2021-07-01 16:40:08,16.7333,82.2167,82.02,83,100,3.69
26,Iquitos,PE,2021-07-01 16:36:58,-3.7481,-73.2472,75.24,64,75,5.75
27,Khandyga,RU,2021-07-01 16:40:09,62.6667,135.6,64.13,54,84,0.65
28,Ushuaia,AR,2021-07-01 16:40:09,-54.8,-68.3,38.82,87,90,26.46
29,Lompoc,US,2021-07-01 16:40:09,34.6391,-120.4579,64.08,86,90,4.61
30,Pinotepa Nacional,MX,2021-07-01 16:40:10,16.3167,-98.0167,83.07,66,100,2.26
31,Butaritari,KI,2021-07-01 16:40:10,3.0707,172.7902,82.31,76,12,14.2
32,Filingue,NE,2021-07-01 16:40:10,14.3521,3.3168,103.14,20,9,1.61
33,Dabakala,CI,2021-07-01 16:40:11,8.3667,-4.4333,82.36,71,83,4.76
34,New Norfolk,AU,2021-07-01 16:40:11,-42.7826,147.0587,53.1,80,35,2.3
35,Thompson,CA,2021-07-01 16:40:11,55.7435,-97.8558,80.76,47,1,12.66
36,Busselton,AU,2021-07-01 16:40:12,-33.65,115.3333,45.05,83,77,7.87
37,Lure,FR,2021-07-01 16:40:12,47.75,6.5,69.17,52,0,9.22
38,Port Alfred,ZA,2021-07-01 16:40:12,-33.5906,26.891,59.99,73,9,17.36
39,Tevaitoa,PF,2021-07-01 16:40:13,-16.7833,-151.5,80.06,75,10,23.55
40,Lebu,CL,2021-07-01 16:40:13,-37.6167,-73.65,52.86,86,31,12.71
41,Ilulissat,GL,2021-07-01 16:40:13,69.2167,-51.1,51.82,40,40,12.66
42,Dikson,RU,2021-07-01 16:40:14,73.5069,80.5464,37.22,87,100,5.06
43,Dwarka,IN,2021-07-01 16:40:14,22.2394,68.9678,84.31,77,56,22.46
44,Orlovskiy,RU,2021-07-01 16:40:14,46.8714,42.0592,77.34,53,16,3.8
45,Clyde River,CA,2021-07-01 16:36:38,70.4692,-68.5914,46.63,81,90,14.97
46,Nouadhibou,MR,2021-07-01 16:40:15,20.931,-17.0347,73.38,68,2,21.85
47,Komsomolskiy,UZ,2021-07-01 16:40:15,40.4272,71.7189,88.52,19,59,6.91
48,Tura,IN,2021-07-01 16:40:15,25.5198,90.2201,74.5,97,98,5.5
49,Aswan,EG,2021-07-01 16:40:16,24.0934,32.907,104.47,11,0,11.16
50,Garowe,SO,2021-07-01 16:40:16,8.4054,48.4845,89.58,26,84,26.6
51,Saskylakh,RU,2021-07-01 16:40:16,71.9167,114.0833,63.32,50,97,12.33
52,Dahuk,IQ,2021-07-01 16:40:17,36.8695,42.994,93.36,12,0,4.88
53,Atuona,PF,2021-07-01 16:40:17,-9.8,-139.0333,78.89,77,24,26.93
54,Tilichiki,RU,2021-07-01 16:40:17,60.4667,166.1,44.74,64,1,14.56
55,Carnarvon,AU,2021-07-01 16:40:18,-24.8667,113.6333,59.07,51,0,9.22
56,Tema,GH,2021-07-01 16:40:18,5.667,-0.0166,84.61,70,20,14.97
57,Inongo,CD,2021-07-01 16:40:18,-1.95,18.2667,76.59,54,21,2.64
58,Aklavik,CA,2021-07-01 16:40:19,68.2191,-135.0107,57.92,69,97,4.47
59,Hermanus,ZA,2021-07-01 16:40:19,-34.4187,19.2345,59.81,75,82,17.25
60,Avera,US,2021-07-01 16:40:19,33.194,-82.5271,86.05,51,38,7.81
61,Portland,US,2021-07-01 16:35:29,45.5234,-122.6762,68.9,80,90,1.01
62,Lavrentiya,RU,2021-07-01 16:40:20,65.5833,-171.0,37.56,90,100,18.12
63,Seoul,KR,2021-07-01 16:39:36,37.5683,126.9778,74.64,86,20,1.14
64,Praia Da Vitoria,PT,2021-07-01 16:40:20,38.7333,-27.0667,75.45,78,40,13.85
65,Avarua,CK,2021-07-01 16:40:21,-21.2078,-159.775,77.05,88,75,11.5
66,Saint-Philippe,RE,2021-07-01 16:40:21,-21.3585,55.7679,69.39,73,43,12.3
67,Mar Del Plata,AR,2021-07-01 16:40:21,-38.0023,-57.5575,48.99,61,90,14.0
68,Bambous Virieux,MU,2021-07-01 16:40:21,-20.3428,57.7575,73.65,68,20,13.8
69,Deputatskiy,RU,2021-07-01 16:40:22,69.3,139.9,49.91,81,81,2.71
70,Elmina,GH,2021-07-01 16:40:22,5.0898,-1.348,79.77,80,98,11.12
71,Albany,US,2021-07-01 16:36:42,42.6001,-73.9662,76.93,77,100,2.66
72,Vaini,TO,2021-07-01 16:40:24,-21.2,-175.2,68.16,100,90,3.44
73,Saint George,US,2021-07-01 16:40:24,37.1041,-113.5841,88.32,32,1,1.01
74,Sorland,NO,2021-07-01 16:40:25,67.667,12.6934,55.47,90,65,10.04
75,Ajdabiya,LY,2021-07-01 16:40:26,30.7554,20.2263,87.98,48,0,14.76
76,Saint-Denis,FR,2021-07-01 16:40:26,48.9167,2.3333,74.93,63,90,1.01
77,Mahebourg,MU,2021-07-01 16:40:27,-20.4081,57.7,73.69,68,20,13.8
78,Barrow,US,2021-07-01 16:40:27,71.2906,-156.7887,32.02,86,90,5.75
79,Katangli,RU,2021-07-01 16:40:28,51.7102,143.2326,48.04,92,4,8.59
80,Havelock,US,2021-07-01 16:40:28,34.8791,-76.9013,89.06,77,40,7.0
81,Qaanaaq,GL,2021-07-01 16:40:28,77.484,-69.3632,37.13,91,100,4.41
82,Enumclaw,US,2021-07-01 16:40:29,47.2043,-121.9915,67.01,87,99,3.51
83,Skibbereen,IE,2021-07-01 16:40:29,51.55,-9.2667,67.8,76,0,9.26
84,Jamestown,US,2021-07-01 16:39:46,42.097,-79.2353,73.09,92,75,4.0
85,Laguna,US,2021-07-01 16:40:29,38.421,-121.4238,86.65,71,1,13.8
86,Biltine,TD,2021-07-01 16:40:30,14.5333,20.9167,90.82,30,96,15.39
87,Hilo,US,2021-07-01 16:40:30,19.7297,-155.09,71.8,87,90,5.75
88,Chapais,CA,2021-07-01 16:40:30,49.7834,-74.8492,65.98,72,100,7.2
89,Te Anau,NZ,2021-07-01 16:40:31,-45.4167,167.7167,37.85,92,96,2.08
90,Victor Harbor,AU,2021-07-01 16:40:31,-35.5667,138.6167,55.47,79,100,18.99
91,Punta Arenas,CL,2021-07-01 16:36:04,-53.15,-70.9167,37.42,87,75,21.85
92,Bathsheba,BB,2021-07-01 16:40:32,13.2167,-59.5167,86.61,62,75,23.02
93,Constitucion,CL,2021-07-01 16:40:32,-35.3333,-72.4167,56.7,74,32,5.21
94,Shyryayeve,UA,2021-07-01 16:40:32,47.3805,30.1964,77.7,59,33,13.42
95,Coihaique,CL,2021-07-01 16:40:33,-45.5752,-72.0662,42.91,70,90,6.91
96,Stremt,RO,2021-07-01 16:40:33,46.2167,23.6333,80.01,82,68,2.91
97,Norman Wells,CA,2021-07-01 16:40:34,65.282,-126.8329,60.84,88,40,2.3
98,Guerrero Negro,MX,2021-07-01 16:40:35,27.9769,-114.0611,73.53,66,22,10.27
99,Kirakira,SB,2021-07-01 16:40:36,-10.4544,161.9205,77.67,87,86,11.16
100,Auki,SB,2021-07-01 16:40:36,-8.7676,160.7034,76.3,89,98,5.06
101,Souillac,MU,2021-07-01 16:40:37,-20.5167,57.5167,73.78,68,20,13.8
102,Tpig,RU,2021-07-01 16:40:37,41.7801,47.589,57.74,92,55,3.91
103,Veinticinco De Mayo,AR,2021-07-01 16:40:37,-35.4323,-60.1727,55.06,67,94,1.99
104,Acapulco,MX,2021-07-01 16:40:38,16.8634,-99.8901,78.62,83,90,5.75
105,Bengkulu,ID,2021-07-01 16:40:38,-3.8004,102.2655,77.97,79,100,4.05
106,Luganville,VU,2021-07-01 16:40:38,-15.5333,167.1667,74.66,78,99,13.71
107,Rupert,US,2021-07-01 16:40:39,42.6191,-113.6772,82.29,41,1,5.75
108,Den Helder,NL,2021-07-01 16:40:39,52.9599,4.7593,64.98,89,75,13.0
109,Kamwenge,UG,2021-07-01 16:40:39,0.1866,30.4539,70.12,57,96,2.17
110,Cidreira,BR,2021-07-01 16:40:40,-30.1811,-50.2056,61.27,72,98,11.77
111,Ponta Do Sol,PT,2021-07-01 16:40:40,32.6667,-17.1,77.0,74,24,2.33
112,Shingu,JP,2021-07-01 16:39:13,33.7333,135.9833,75.9,98,100,9.51
113,Sur,OM,2021-07-01 16:40:41,22.5667,59.5289,93.34,43,41,9.64
114,Pangnirtung,CA,2021-07-01 16:40:41,66.1451,-65.7125,41.0,93,90,5.75
115,Dire,ML,2021-07-01 16:40:42,12.2833,-10.9667,76.5,90,94,6.96
116,Colombia,CU,2021-07-01 16:40:42,20.9881,-77.4297,84.92,64,91,3.11
117,Puerto Del Rosario,ES,2021-07-01 16:40:42,28.5004,-13.8627,76.68,68,20,16.11
118,Mana,GF,2021-07-01 16:40:43,5.6592,-53.7767,84.42,68,74,3.44
119,Fortuna,US,2021-07-01 16:40:43,40.5982,-124.1573,60.93,75,90,3.0
120,Gravdal,NO,2021-07-01 16:40:43,68.1214,13.5031,55.29,82,75,4.61
121,Dingtao,CN,2021-07-01 16:40:44,35.0683,115.5625,73.0,82,44,5.79
122,Nianzishan,CN,2021-07-01 16:40:44,47.5167,122.8833,62.62,98,100,2.93
123,Bozeman,US,2021-07-01 16:35:50,45.6796,-111.0386,84.31,29,1,1.99
124,Jacksonville Beach,US,2021-07-01 16:36:04,30.2947,-81.3931,87.15,76,90,3.0
125,Kaitangata,NZ,2021-07-01 16:40:45,-46.2817,169.8464,40.93,87,96,3.91
126,Glens Falls,US,2021-07-01 16:38:17,43.3095,-73.644,78.8,74,1,1.99
127,Arraial Do Cabo,BR,2021-07-01 16:40:45,-22.9661,-42.0278,71.56,60,20,19.57
128,Ribeira Grande,PT,2021-07-01 16:40:45,38.5167,-28.7,72.0,73,40,18.41
129,Biak,ID,2021-07-01 16:40:46,-0.9131,122.8766,74.59,85,84,7.7
130,Puerto Ayora,EC,2021-07-01 16:40:46,-0.7393,-90.3518,82.36,81,35,10.0
131,Saint-Pierre,RE,2021-07-01 16:40:46,-21.3393,55.4781,69.44,79,75,6.91
132,Bredasdorp,ZA,2021-07-01 16:40:47,-34.5322,20.0403,59.29,63,81,9.22
133,Hasaki,JP,2021-07-01 16:40:47,35.7333,140.8333,70.29,96,100,2.59
134,Moranbah,AU,2021-07-01 16:40:47,-22.0016,148.0466,63.27,91,99,7.05
135,Dingle,PH,2021-07-01 16:40:47,10.9995,122.6711,78.01,87,98,2.46
136,Aginskoye,RU,2021-07-01 16:40:48,51.1,114.53,57.4,94,100,12.5
137,Panaba,MX,2021-07-01 16:40:48,21.2833,-88.2667,79.81,84,100,6.51
